id,Google Scholar,Scopus,Web of science,Авторы (Соавторы),ВАК,Вид деятельности,Вид достижения,Вклад %,Дата выдачи,Дата мероприятия,Дата публикации,Должность подписанта,Литературная ссылка,Место или степень,Место проведения,Место публикации,Наименование,Наименование мероприятия,Наименование статьи,Номер патента,Номер удостоверения,Подписант,РИНЦ,Ссылки на новости,Ступень,Уровень мероприятия,Уровень участия,awarded
430,0,0,0,,0,культурно-творческая,произведение литературы или искусства,,,,2025-11-25T19:00:00.000Z,,,,,Книжный штурман. Десятый сезон. Лучшие читательские рекомендации,"""Русская романтическая новелла""",,,,,,0,,,<NULL>,,Нет
433,0,0,0,"Манукян М.А., Умарова З.М., Ширшова К.М., Миллер П.С.",1,научно-исследовательская,научная статья,25.0,,,2025-07-27T19:00:00.000Z,,https://po-journal.ru/archives/11039 ,,,"Педагогическое образование 2025, Том 6, № 8",,,"Формирование положительной мотивации учащихся 5 классов к изучению учебного предмета ""Математика""",,,,0,,,<NULL>,,Нет
434,0,0,0,,0,общественная,благодарность,,,2025-09-20T19:00:00.000Z,,Руководитель центра молодежных инициатив ТюмГУ,,,Тюмень,,,"за помощь в проведении фестиваля первокурсников ""Сказки XVIII"" школы компьютерных наук ТюмГУ",,,,Конищева А. О.,0,,,Университетский,член службы этикета,Да
437,0,0,0,,0,общественная,благодарность,,,2025-10-28T19:00:00.000Z,,"Руководитель группы молодёжных проектов, начальник управления молодёжной политики",,,Тюмень,,,"за помощь в организации и проведении фестиваля ""Дебют первокурсника - 2025""",,,,Д. Ю. Степанчук,0,-,,Университетский,член службы этикета,Да
438,0,0,0,,0,общественная,благодарность,,,2025-05-16T19:00:00.000Z,,"Руководитель регионального отделения Всероссийского общественного движения ""Волонтеры культуры"" Тюменской области",,,Тюмень,,,"За помощь в организации Всероссийской акции ""Ночь музеев - 2025"" на базе структурного подразделения Музейный комплекс им. И.Я. Словцова",,,,Киселева М.А.,0,https://72.ru/text/culture/2025/05/14/75446423/,,Всероссийский,волонтер,Нет
439,0,0,0,,0,общественная,благодарность,,,2025-10-13T19:00:00.000Z,,"Директор Финансово-экономического института, проректор ",,,Тюмень,,,за помощь в сопровождении Всероссийского экономического диктанта в г. Тюмени,,,,Д. В. Лазутина,0,-,,Всероссийский,член службы этикета,Да
442,0,0,0,,0,общественная,благодарность,,,2025-08-31T19:00:00.000Z,,"Руководитель группы молодежных проектов, начальник управления молодежной политики",,,Тюмень,,,"За помощь в организации торжественного мероприятия ""День знаний ТюмГУ 2025""",,,,Степанчук Д.Ю.,0,,,Университетский,волонтер,Нет
443,0,0,0,,0,культурно-творческая,диплом,,,2025-03-02T19:00:00.000Z,,1. Ректор Санкт-Петербургского государственного университета промышленных технологий и дизайна; 2. Директор Центра адаптации иностранных студентов СПбГУПТД; 3. Директор Центра организации мероприятий,,1.0,Санкт-Петербург,,,Всероссийский конкурс творчества «Международный день родного языка»,,,,1. А.В. Демидов; 2. Е.А. Боханова; 3. В.И. Ситдикова,0,https://vk.com/wall-202130196_1575,,Всероссийский,,Нет
446,0,0,0,,0,общественная,благодарность,,,2025-12-19T19:00:00.000Z,,Руководитель центра молодёжных инициатив управления молодёжной политики ТюмГУ,,,Тюмень,,,"за помощь в организации мероприятия ""Квартирник. Новогодний"" от ""ПОСТ ИВЕНТ МЕДИА"" и СО ФЭИ",,,,Конищева А. О.,0,,,Университетский,волонтёр,Да
447,0,0,0,,0,общественная,благодарность,,,2025-10-10T19:00:00.000Z,,Председатель Совета Тюменского отделения Российского исторического общества,,,Тюмень,,,За активное участие в организации и проведении IV Национальный форум преподавателей истории,,,,Шилов С.П.,0,,,Всероссийский,волонтер,Нет
451,0,0,0,,0,культурно-творческая,грамота,,,2025-12-04T19:00:00.000Z,,Директор Центра иностранных языков и коммуникативных технологий ,,2.0,Тюмень,,,"III поэтический конкурс “Poetic Winter Jam 2025""",,,,В.М. Евдаш,0,https://t.me/utmnlanguagepower/1266,,Университетский,,Нет
452,0,0,0,,0,общественная,благодарность,,,2025-11-17T19:00:00.000Z,,Председатель Общественной палаты Тюменской области,,,Тюмень,,,"За эффективную помощь в реализации проекта ""Герои земли Тюменской: от Великой Отечественной войны до специальной военной операции""",,,,Чеботарёв Г.Н.,0,https://historyrussia.org/index.php?id=12009&layout=edit&option=com_content&view=article,,Региональный,волонтер,Нет
466,0,0,0,,0,учебная,диплом,,,2025-04-14T19:00:00.000Z,,Директор Центра иностранных языков и коммуникативных технологий ,,2.0,Тюмень,,,Пятый юбилейный фестиваль проектов HIVE: Having Ideas & Voices Expressed,,,,В.М. Евдаш,0,"https://t.me/utmnlanguagepower/711, https://t.me/utmnlanguagepower/713",,Университетский,,Нет
474,0,0,0,,0,общественная,благодарность,,,2025-08-15T21:00:00.000Z,,Заместитель директора Школы перспективных исследований (SAS) ТюмГУ,,,"Тюмень, Школа перспективный исследований (SAS) ТюмГУ",,,"Летняя научная школа ""Дельта""",,,,Анастасия Савельева,0,,,Всероссийский,организатор,Нет
476,0,0,0,Овчинников Алексей Юрьевич,0,научно-исследовательская,научная статья,100.0,,,2025-07-14T19:00:00.000Z,,"Овчинников А.Ю. Историческая память и практики коммеморации в Казахстане (на материале г. Костанай) // Востоковедение. Этнография: материалы 63-й Междунар. науч. студ.  конф. 16-22 апреля 2025 г. Новосибирск: ИПЦ НГУ, 2025. С. 217-218.",,,ИПЦ НГУ,,,Историческая память и практики коммеморации в Казахстане (на материале г. Костанай),,,,1,,,<NULL>,,Нет
478,0,0,0,"Иванов Никита Натанович, Климов Марк Алексеевич ",0,научно-исследовательская,патент,50.0,2025-07-24T19:00:00.000Z,,,,,,,,,,,2025669380,,,0,,,<NULL>,,Нет
484,0,0,0,,0,учебная,диплом,,,2025-04-08T19:00:00.000Z,,Ректор,,2.0,ТюмГУ,,,"Научная конференция для магистрантов ""Наука глазами молодых исследователей на английском языке""",,,,Иван Романчук,0,,,Университетский,,Нет
485,0,0,0,,0,спортивная,гто,,,,,Врио Министра,,,,,,,,,228 НГ,О.Х.Байсултанов,0,,8.0,Всероссийский,,Да
486,0,0,0,,0,научно-исследовательская,диплом,,,2025-11-29T19:00:00.000Z,,Проректор по научной работе ФГБОУ ВО РГАУ-МСХА им. К.А. Тимирязева,,1.0,ФГБОУ ВО РГАУ-МСХА им. К.А. Тимирязева,,,Всероссийская молодежная научая конференция с международным участием X Вильямсовские чтения к 160-летию Российского государственного аграрного университета - МСХА им. К.А. Тимирязева,,,,Селионова М.И.,0,https://www.timacad.ru/news/x-viliamsovskie-chteniia-vzgliad-v-budushchee-pochvovedeniia?faculty=87,,Всероссийский,,Нет
490,0,0,0,,0,общественная,благодарность,,,2025-09-27T19:00:00.000Z,,"Руководитель группы молодежных  проектов, начальник управления  молодежной политики",,,г. Тюмень,,,XXVI Тюменский марафон «Врата Сибири»,,,,Д.Ю. Степанчук,0,,,Муниципальный,организация работы фан-зоны тюмгу,Нет
491,0,0,0,"Иванов Никита Натанович, Климов Марк Алексеевич ",0,научно-исследовательская,научная статья,50.0,,,2025-05-15T19:00:00.000Z,,"Иванов Н. Н., Климов М. А. Track Anything Annotate: аннотирование видео и создание наборов данных для моделей компьютерного зрения // Информационные технологии в современном мире – 2025 : сборник материалов и докладов XXI Всероссийской студенческой конференции. — Екатеринбург: Гуманитарный университет, 2025. — С. 80–82. — URL: https://www.elibrary.ru/item.asp?id=82572627",,,"В книге: Информационные технологии в современном мире - 2025. Сборник материалов и докладов XXI Всероссийской студенческой конференции. Екатеринбург, 2025. С. 80-82.",,,TRACK ANYTHING ANNOTATE: АННОТИРОВАНИЕ ВИДЕО И СОЗДАНИЕ НАБОРОВ ДАННЫХ ДЛЯ МОДЕЛЕЙ КОМПЬЮТЕРНОГО ЗРЕНИЯ,,,,1,,,<NULL>,,Нет
495,0,0,0,,0,культурно-творческая,произведение литературы или искусства,,,,2025-12-15T21:00:00.000Z,,,,,"Издательство «Катоблепас», Антология Международной деканнале «Vox Catoblepae», https://catoblepaspress.ru/projects/voxcatoblepae",Прохожий,,,,,,0,,,<NULL>,,Нет
498,0,0,0,,0,общественная,благодарность,,,2025-10-03T19:00:00.000Z,,Директор,,,Тюмень,,,"за помощь в подготовке 1/2 официальной лиги КВН ""Запсиб""",,,,Маматахунов Ш. Н.,0,,,Региональный,член службы этикета,Да
499,0,0,1,"Иванов Никита Натанович, Климов Марк Алексеевич, Глухих Игорь Николаевич, Глухих Дмитрий Игоревич, Чернышева Татьяна Юрьевна ",0,научно-исследовательская,научная статья,20.0,,,2025-05-22T19:00:00.000Z,,"Ivanov N., Klimov M., Glukhikh D., Chernysheva T., Glukhikh I. Track Anything Annotate: Video annotation and dataset generation of computer vision models // arXiv preprint arXiv:2505.17884. — 2025. — P. 1–9. — URL: https://arxiv.org/abs/2505.17884",,,arxiv.org,,,Track Anything Annotate: Video annotation and dataset generation of computer vision models,,,,0,,,<NULL>,,Нет
501,0,0,0,"Ефимова Е. А., Ефимова Е. В., Маркова Е. А.",1,научно-исследовательская,научная статья,50.0,,,2025-11-17T19:00:00.000Z,,"Ефимова Е.А., Ефимова Е.В., Маркова Е.А. Ситуационные задачи как средство формирования финансовой грамотности у детей старшего дошкольного возраста // Педагогическое образование. 2025. Том 6. № 12. С. 178 – 183.",,,"Журнал ""Педагогическое образование""",,,Ситуационные задачи как средство формирования финансовой грамотности у детей старшего дошкольного возраста,,,,0,,,<NULL>,,Да
502,0,0,0,,0,общественная,благодарность,,,2026-01-24T19:00:00.000Z,,"Руководитель группы молодёжных проектов, начальник управления молодёжной политики",,,Тюмень,,,"за содействие в организации традиционного мероприятия ""Массовые катания на коньках"", посвящённого Дню российского студенчества в ТюмГУ",,,,Д. Ю. Степанчук,0,,,Муниципальный,волонтёр,Да
504,0,0,0,,0,научно-исследовательская,диплом,,,2025-11-19T19:00:00.000Z,,Ректор ,,1.0,Тюменский государственный университет ,,,"Кейс-чемпионат Т2. Кейс ""Мобильные технологии для карьеры: обучение, поиск работы и саморазвитие""",,,,Романчук И.С. ,0,-,,Региональный,,Нет
507,0,0,0,,0,общественная,благодарность,,,2025-10-10T19:00:00.000Z,,"Заместитель директора ГАОУ ТО ""ФМШ"" - руководитель регионального центра ""Новое поколение""",,,"ГАОУ ТО ""ФМШ""",,,проектная школа-фестиваль ТехноГТО,,,,М.А. Сусоев,0,,,Региональный,сотрудничество и помощь в качестве куратора в рамках проектной школы-фестиваля техногто,Нет
510,0,0,0,,0,общественная,благодарность,,,2025-12-21T19:00:00.000Z,,Руководитель центра по работе с общежитиями управления молодёжной политики ТюмГУ,,,Тюмень,,,"за участие в смотре-конкурсе среди общежитий ТюмГУ ""Новый год спешит к нам в дом""",,,,О. Н. Стрюкова,0,,,Университетский,"участник, куратор культ-массового сектора",Да
514,0,0,0,,0,общественная,благодарность,,,2025-11-21T19:00:00.000Z,,проректор по воспитательной работе,,,Тюмень,,,"за личный вклад и помощь в постановке профилактического образовательного спектакля-дискуссии ""Один"" в рамках акции ""Антибуллинговый урок"", направленного на профилактику буллинга в учебных заведениях",,,,О. А. Загвязинская,0,,,Университетский,член службы этикета,Да
515,0,0,0,,0,общественная,благодарность,,,2025-09-16T19:00:00.000Z,,Ректор ТюмГУ,,,Тюмень,,,"за помощь в организации серии мероприятий, посвященных 95-летию Тюменского государственного университета",,,,Иван Романчук,0,-,,Университетский,член службы этикета,Да
516,0,0,0,,0,учебная,диплом,,,2025-03-25T19:00:00.000Z,,ПРОРЕКТОР НИУ ВШЭ,,2.0,"г. Москва, Национального исследовательского университета «Высшая школа экономики» ",,,Всероссийский конкурс исследовательских  и проектных работ школьников  «Высший пилотаж» по направлению  Предпринимательство,,,,В.В.БАШЕВ ,0,,,Всероссийский,,Да
517,0,0,0,"Гурьев Никита Евгеньевич, Рыбина Арина Александровна, Зонова Екатерина Олеговна",0,научно-исследовательская,научная статья,30.0,,,2025-11-28T19:00:00.000Z,,"Гурьев Н.Е., Рыбина А.А., Зонова Е.О. Определение пространственных границ радоновых аномалий в границах г. Тюмени и его окрестностях // Сборник трудов Всероссийской молодежной научной конференции с международным участием X Вильямсовские чтения к 160-летию Российского государственного аграрного университета – МСХА имени К.А. Тимирязева (27-29 ноября 2025 года)/ Под. ред. В.Д. Наумова. Москва: РГАУ-МСХА имени К.А. Тимирязева, 2025. С. 598-602. URL: https://elib.timacad.ru/dl/full/s09122025Sb10_Vil_chten.pdf/info",,,Сборник трудов Всероссийской молодежной научной конференции с международным участием X Вильямсовские чтения к 160-летию Российского государственного аграрного университета – МСХА имени К.А. Тимирязева: РГАУ-МСХА имени К.А. Тимирязева,,,Определение пространственных границ радоновых аномалий в границах г. Тюмени и его окрестностях ,,,,1,,,<NULL>,,Нет
518,0,0,0,,0,общественная,благодарность,,,2025-09-06T19:00:00.000Z,,Начальник управления молодёжной политики,,,Тюмень,,,"за организацию точки активности на Фестивале студенческих объединений ""UTMN FEST""",,,,Д. Ю. Степанчук,0,-,,Муниципальный,член службы этикета,Да
522,0,0,0,,0,общественная,благодарность,,,2025-09-28T19:00:00.000Z,,Директор Школы естественных наук канд. хим. наук,,,Тюмень,,,за активное участие в организации и проведении традиционного регионального турнира Кубок ШЕН по физике для старшеклассников,,,,А. В. Елышев,0,-,,Региональный,член службы этикета,Да
