stud_id,activity_type,id,awarded
8ff6181a-3c4e-11e6-80d7-005056972aa1,Спортивная,000001856,Да
8ff6181a-3c4e-11e6-80d7-005056972aa1,Спортивная,000001857,Да
8ff6181a-3c4e-11e6-80d7-005056972aa1,Спортивная,000001858,Да
8ff6181a-3c4e-11e6-80d7-005056972aa1,Спортивная,000001860,Да
cdffa7fa-b4ab-4d41-9a2d-e4386223551f,Спортивная,000002785,Нет
cdffa7fa-b4ab-4d41-9a2d-e4386223551f,Спортивная,000002796,Нет
cdffa7fa-b4ab-4d41-9a2d-e4386223551f,Спортивная,000002807,Нет
cdffa7fa-b4ab-4d41-9a2d-e4386223551f,Спортивная,000002834,Нет
cdffa7fa-b4ab-4d41-9a2d-e4386223551f,Спортивная,000002852,Нет
cdffa7fa-b4ab-4d41-9a2d-e4386223551f,Спортивная,000002855,Нет
8ce62180-e167-41d3-b3a6-72cde1939164,Культурно-творческая,000002045,Да
8ce62180-e167-41d3-b3a6-72cde1939164,Культурно-творческая,000002050,Да
8ce62180-e167-41d3-b3a6-72cde1939164,Культурно-творческая,000002056,Да
8ce62180-e167-41d3-b3a6-72cde1939164,Культурно-творческая,000002059,Да
8ce62180-e167-41d3-b3a6-72cde1939164,Культурно-творческая,000002060,Да
8ce62180-e167-41d3-b3a6-72cde1939164,Культурно-творческая,000002063,Да
8ce62180-e167-41d3-b3a6-72cde1939164,Культурно-творческая,000002065,Да
8ce62180-e167-41d3-b3a6-72cde1939164,Культурно-творческая,000002091,Да
8ce62180-e167-41d3-b3a6-72cde1939164,Культурно-творческая,000002095,Да
8ce62180-e167-41d3-b3a6-72cde1939164,Культурно-творческая,000002096,Да
8ce62180-e167-41d3-b3a6-72cde1939164,Культурно-творческая,000002098,Да
8ce62180-e167-41d3-b3a6-72cde1939164,Культурно-творческая,000002099,Да
8ce62180-e167-41d3-b3a6-72cde1939164,Культурно-творческая,000002101,Да
8ce62180-e167-41d3-b3a6-72cde1939164,Культурно-творческая,000002102,Да
8ce62180-e167-41d3-b3a6-72cde1939164,Культурно-творческая,000002103,Да
8ce62180-e167-41d3-b3a6-72cde1939164,Культурно-творческая,000002106,Да
8ce62180-e167-41d3-b3a6-72cde1939164,Культурно-творческая,000002107,Да
8ce62180-e167-41d3-b3a6-72cde1939164,Культурно-творческая,000002109,Да
8ce62180-e167-41d3-b3a6-72cde1939164,Культурно-творческая,000002110,Да
8ce62180-e167-41d3-b3a6-72cde1939164,Культурно-творческая,000002112,Да
8ce62180-e167-41d3-b3a6-72cde1939164,Культурно-творческая,000002113,Да
